id,category,keyword
1,meat,anchois
2,meat,antrykot
3,meat,befsztyk
4,meat,bekon
5,meat,boczek
6,meat,chashu
7,meat,chorizo
8,meat,cielęcina
9,meat,dorsz
10,meat,dziczyzna
11,meat,flaki
12,meat,gyros
13,meat,homar
14,meat,indyk
15,meat,jagnięcina
16,meat,kaczka
17,meat,kalmary
18,meat,karkówka
19,meat,kebab
20,meat,kiełbasa
21,meat,klopsiki
22,meat,kotlet
23,meat,krab
24,meat,krewetki
25,meat,królik
26,meat,kurczak
27,meat,małże
28,meat,mielona
29,meat,mięso
30,meat,mortadela
31,meat,okoń
32,meat,parówka
33,meat,pasztet
34,meat,pepperoni
35,meat,polędwica
36,meat,prosciutto
37,meat,rostbef
38,meat,ryba
39,meat,salami
40,meat,schab
41,meat,skrzydełka
42,meat,smalec
43,meat,stek
44,meat,szynka
45,meat,słonina
46,meat,tuńczyk
47,meat,wieprzowina
48,meat,wołowina
49,meat,wątroba
50,meat,wątróbka
51,meat,węgorz
52,meat,łopatka
53,meat,łosoś
54,meat,żeberka
55,dairy,cheddar
56,dairy,feta
57,dairy,gorgonzola
58,dairy,jogurt
59,dairy,kefir
60,dairy,mascarpone
61,dairy,masło
62,dairy,mleko
63,dairy,mozzarella
64,dairy,parmezan
65,dairy,ricotta
66,dairy,ser
67,dairy,sos serowy
68,dairy,twaróg
69,dairy,śmietana
70,dairy,śmietanka
71,eggs,jaja
72,eggs,jajko
73,eggs,majonez
74,eggs,żółtko
75,gluten,bagietka
76,gluten,bajgiel
77,gluten,bułka
78,gluten,chleb
79,gluten,ciasto
80,gluten,fettuccine
81,gluten,focaccia
82,gluten,gnocchi
83,gluten,grzanki
84,gluten,kluski
85,gluten,kuskus
86,gluten,makaron
87,gluten,mąka
88,gluten,naan
89,gluten,naleśnik
90,gluten,panierka
91,gluten,panini
92,gluten,penne
93,gluten,pierogi
94,gluten,pita
95,gluten,precel
96,gluten,pszenica
97,gluten,ravioli
98,gluten,spaghetti
99,gluten,spód
100,gluten,tortilla
