id,name,pixabay_term,is_meat,is_dairy,is_egg,is_gluten
1,ananas,pineapple fruit,0,0,0,0
2,anchois,anchovies fish,1,0,0,0
3,antrykot,ribeye steak,1,0,0,0
4,aperol,aperol liqueur,0,0,0,0
5,awokado,avocado fruit,0,0,0,0
6,bagietka,baguette bread,0,0,0,1
7,bajgiel,bagel bread,0,0,0,1
8,bakłażan,eggplant vegetable,0,0,0,0
9,banan,banana fruit,0,0,0,0
10,bataty,sweet potato,0,0,0,0
11,bazylia,basil herb,0,0,0,0
12,bekon,bacon meat,1,0,0,0
13,beszamel,white sauce creamy,0,0,0,0
14,białe_wino,white wine,0,0,0,0
15,biszkopt,sponge cake,0,0,0,0
16,bita_śmietana,whipped cream bowl dessert topping,0,1,0,0
17,boczek_wieprzowy,pork belly,1,0,0,0
18,borówki,blueberries fruit,0,0,0,0
19,brokuły,broccoli vegetable,0,0,0,0
20,bulion,broth liquid,0,0,0,0
21,bulion_wołowy,beef broth,0,0,0,0
22,buraki,beets vegetable,0,0,0,0
23,bułka,bread roll,0,0,0,1
24,bułka_tarta,breadcrumbs food,0,0,0,1
25,cebula,onion vegetable,0,0,0,0
26,cebulka_dymka,spring onion,0,0,0,0
27,chashu,chashu pork,1,0,0,0
28,chili,chili pepper hot,0,0,0,0
29,chipsy_kukurydziane,tortilla chips nachos,0,0,0,0
30,chleb,bread loaf,0,0,0,1
31,chleb_tostowy,toast bread,0,0,0,1
32,chmiel,hops flowers,0,0,0,0
33,chorizo,chorizo sausage,1,0,0,0
34,ciastka_oreo,oreo cookies,0,0,0,0
35,ciasto,dough pastry,0,0,0,1
36,ciasto_drożdżowe,yeast dough,0,0,0,1
37,ciasto_filo,filo pastry,0,0,0,1
38,ciasto_kruche,shortcrust pastry,0,0,0,1
39,ciasto_makaronowe,fresh pasta dough,0,0,0,1
40,ciasto_parzone,choux pastry,0,0,0,1
41,ciecierzyca,chickpeas legumes,0,0,0,0
42,cola,cola soda,0,0,0,0
43,cukier,sugar granules,0,0,0,0
44,cukinia,zucchini vegetable,0,0,0,0
45,cynamon,cinnamon spice,0,0,0,0
46,cytryna,lemon citrus,0,0,0,0
47,czarna_fasola,black beans,0,0,0,0
48,czekolada,chocolate bar pieces,0,0,0,0
49,czekolada_gorzka,dark chocolate,0,0,0,0
50,czekoladowe_wiórki,chocolate chips baking,0,0,0,0
51,czerwona_cebula,red onion,0,0,0,0
52,czerwone_wino,red wine,0,0,0,0
53,czosnek,garlic vegetable,0,0,0,0
54,dorsz,cod fish,1,0,0,0
55,drożdże,yeast ingredient,0,0,0,0
56,dynia,pumpkin vegetable,0,0,0,0
57,dzem,jam preserve,0,0,0,0
58,fasola,beans legumes,0,0,0,0
59,fasolka_szparagowa,green beans,0,0,0,0
60,feta,feta cheese,0,1,0,0
61,fettuccine,fettuccine pasta,0,0,0,1
62,frytki,french fries,0,0,0,0
63,gin,gin alcohol,0,0,0,0
64,gnocchi_ziemniaczane,potato gnocchi,0,0,0,1
65,gochujang,gochujang korean paste,0,0,0,0
66,groszek,peas vegetable,0,0,0,0
67,gruszka,pear fruit,0,0,0,0
68,grzanki,croutons bread,0,0,0,1
69,grzyby,mushrooms fungi,0,0,0,0
70,guacamole,guacamole dip,0,0,0,0
71,herbata,tea bags,0,0,0,0
72,herbata_czarna,black tea bags,0,0,0,0
73,herbata_miętowa,mint tea bags,0,0,0,0
74,herbata_owocowa,fruit tea bags,0,0,0,0
75,herbata_zielona,green tea bags,0,0,0,0
76,herbatniki,butter cookies biscuits,0,0,0,0
77,homar,lobster seafood,1,0,0,0
78,hummus,hummus dip,0,0,0,0
79,imbir,ginger root,0,0,0,0
80,jabłko,apple fruit,0,0,0,0
81,jagnięcina,lamb meat,1,0,0,0
82,jagody,berries fruit,0,0,0,0
83,jajko,egg food,0,0,1,0
84,jalapeno,jalapeno pepper,0,0,0,0
85,jałowiec,juniper berries,0,0,0,0
86,jogurt,plain white yogurt bowl,0,1,0,0
87,kakao,cocoa powder,0,0,0,0
88,kalafior,cauliflower vegetable,0,0,0,0
89,kalmary,squid seafood,1,0,0,0
90,kapary,capers food,0,0,0,0
91,kapusta,cabbage vegetable,0,0,0,0
92,kapusta_kiszona,sauerkraut cabbage,0,0,0,0
93,kapusta_pekińska,napa cabbage,0,0,0,0
94,karmel,caramel sauce drizzle,0,0,0,0
95,kasza_bulgur,bulgur wheat,0,0,0,0
96,kawa,coffee drink,0,0,0,0
97,kefir,kefir dairy,0,1,0,0
98,ketchup,ketchup sauce,0,0,0,0
99,kiełbasa,sausage meat,1,0,0,0
100,kiszone_warzywa,pickled vegetables,0,0,0,0
101,klopsiki,meatballs food,1,0,0,0
102,kluski_ziemniaczane,potato dumplings,0,0,0,1
103,kminek,caraway seeds,0,0,0,0
104,kolendra,cilantro herb,0,0,0,0
105,komosa_ryżowa,quinoa grain,0,0,0,0
106,koperek,dill herb,0,0,0,0
107,kotlet_roślinny,veggie burger patty,1,0,0,0
108,kotlet_wołowy,beef patty meat,1,0,0,0
109,krab,crab seafood,1,0,0,0
110,krem_waniliowy,vanilla custard cream,0,0,0,0
111,krewetki,shrimp seafood,1,0,0,0
112,królik,rabbit meat dish,1,0,0,0
113,kukurydza,corn vegetable,0,0,0,0
114,kurczak,chicken meat,1,0,0,0
115,likier_pomarańczowy,orange liqueur,0,0,0,0
116,limonka,lime citrus,0,0,0,0
117,lody,ice cream scoops bowl,0,0,0,0
118,lukier,icing sugar glaze,0,0,0,0
119,lód,ice cubes,0,0,0,0
120,majonez,mayonnaise sauce,0,0,1,0
121,mak,poppy seeds,0,0,0,0
122,makaron_lasagne,lasagna pasta sheets,0,0,0,1
123,makaron_nitki,thin soup noodles vermicelli,0,0,0,1
124,makaron_ramen,ramen noodles,0,0,0,1
125,makaron_ryżowy,rice noodles,0,0,0,1
126,maliny,raspberries fruit,0,0,0,0
127,mandarynka,mandarin orange,0,0,0,0
128,mango,mango fruit,0,0,0,0
129,marakuja,passion fruit,0,0,0,0
