theme_id,archetype_id,section_id
1,3,15
1,3,14
1,7,27
1,4,6
1,25,19
2,2,1
2,4,7
2,25,19
3,31,3
3,12,29
3,12,24
3,19,3
3,21,4
3,26,19
4,15,28
4,15,21
4,15,18
4,12,29
4,12,24
4,7,24
4,28,24
4,25,19
5,18,3
5,30,24
5,44,24
5,12,29
5,12,24
5,21,4
5,25,19
6,16,3
6,17,3
6,10,3
6,28,24
6,7,24
6,7,3
6,12,29
6,12,24
6,21,4
6,25,19
7,29,3
7,12,29
7,12,24
7,36,3
7,21,4
7,7,24
7,7,3
7,27,19
8,29,3
8,38,3
8,2,3
8,7,24
8,7,3
8,4,24
8,12,29
8,12,24
8,21,4
8,25,19
9,13,29
9,13,3
9,32,3
9,14,29
9,14,3
9,18,3
9,15,3
9,12,29
9,12,24
9,21,4
9,25,19
10,13,29
10,13,3
10,32,3
10,14,29
10,14,3
10,18,3
10,15,3
10,12,29
10,12,24
10,21,4
10,25,19
11,35,3
11,7,24
11,7,3
11,39,3
11,27,19
11,12,29
11,12,24
11,21,4
12,33,3
12,12,29
12,12,24
12,44,24
12,32,3
12,21,4
12,25,19
13,34,24
13,34,3
13,27,19
13,39,3
13,28,24
13,12,29
13,12,24
13,21,4
14,2,3
14,46,19
14,20,4
14,20,3
14,4,24
14,23,19
14,12,29
14,12,24
14,40,3
15,39,3
15,15,3
15,12,29
15,12,24
15,7,24
15,7,3
15,28,24
15,21,4
15,27,19
16,41,22
16,21,26
16,8,10
16,23,11
16,22,11
16,40,10
17,23,13
17,23,20
17,22,9
17,22,20
17,21,2
17,8,10
17,46,20
17,40,10
18,38,3
18,29,3
18,2,3
18,4,24
18,26,19
18,12,29
18,12,24
18,21,4
19,42,3
19,3,3
19,28,24
19,7,24
19,7,3
19,12,29
19,12,24
19,21,4
19,25,19
20,42,3
20,3,3
20,28,24
20,7,24
20,7,3
20,12,29
20,12,24
20,21,4
20,25,19
21,37,3
21,41,24
21,26,19
21,12,29
21,12,24
21,21,4
22,5,16
22,5,5
22,6,16
22,6,5
22,21,5
22,21,8
22,46,12
22,23,12
22,24,12
22,20,8
22,20,5
23,29,3
23,39,3
23,27,19
23,21,4
23,36,3
23,28,24
23,12,29
23,12,24
24,8,3
24,9,3
24,7,24
24,7,3
24,23,19
24,25,19
24,12,29
24,12,24
24,21,4
25,1,23
25,11,17
25,43,17
25,21,4
25,7,25
25,7,24
25,27,19
26,13,29
26,13,3
26,32,3
26,14,29
26,14,3
26,18,3
26,15,3
26,12,29
26,12,24
26,21,4
26,25,19
