theme_id,section_id,chance,limit_min,limit_max
1,15,1.0,3,8
1,14,1.0,3,6
1,27,0.5,1,3
1,6,0.8,2,5
1,19,1.0,4,8
2,1,1.0,6,15
2,7,1.0,3,6
2,19,1.0,5,10
3,3,1.0,5,12
3,24,0.7,3,6
3,29,0.6,2,5
3,4,0.6,3,6
3,19,1.0,5,10
4,28,1.0,5,10
4,21,0.8,4,10
4,18,0.8,6,15
4,29,0.7,2,4
4,24,0.6,2,5
4,19,1.0,4,8
5,3,1.0,5,12
5,24,0.7,3,6
5,29,0.6,2,5
5,4,0.6,3,6
5,19,1.0,5,10
6,3,1.0,5,12
6,24,0.7,3,6
6,29,0.6,2,5
6,4,0.6,3,6
6,19,1.0,5,10
7,3,1.0,5,12
7,24,0.7,3,6
7,29,0.6,2,5
7,4,0.6,3,6
7,19,1.0,5,10
8,3,1.0,5,12
8,24,0.7,3,6
8,29,0.6,2,5
8,4,0.6,3,6
8,19,1.0,5,10
9,3,1.0,5,12
9,24,0.7,3,6
9,29,0.6,2,5
9,4,0.6,3,6
9,19,1.0,5,10
10,3,1.0,5,12
10,24,0.7,3,6
10,29,0.6,2,5
10,4,0.6,3,6
10,19,1.0,5,10
11,3,1.0,5,12
11,24,0.7,3,6
11,29,0.6,2,5
11,4,0.6,3,6
11,19,1.0,5,10
12,3,1.0,5,12
12,24,0.7,3,6
12,29,0.6,2,5
12,4,0.6,3,6
12,19,1.0,5,10
13,3,1.0,5,12
13,24,0.7,3,6
13,29,0.6,2,5
13,4,0.6,3,6
13,19,1.0,5,10
14,3,1.0,5,12
14,24,0.7,3,6
14,29,0.6,2,5
14,4,0.6,3,6
14,19,1.0,5,10
15,3,1.0,5,12
15,24,0.7,3,6
15,29,0.6,2,5
15,4,0.6,3,6
15,19,1.0,5,10
16,22,1.0,5,15
16,26,1.0,5,12
16,10,0.8,4,8
16,11,1.0,5,10
17,13,1.0,6,15
17,9,0.9,4,10
17,2,1.0,5,12
17,10,0.6,3,6
17,20,0.9,4,8
18,3,1.0,5,12
18,24,0.7,3,6
18,29,0.6,2,5
18,4,0.6,3,6
18,19,1.0,5,10
19,3,1.0,5,12
19,24,0.7,3,6
19,29,0.6,2,5
19,4,0.6,3,6
19,19,1.0,5,10
20,3,1.0,5,12
20,24,0.7,3,6
20,29,0.6,2,5
20,4,0.6,3,6
20,19,1.0,5,10
21,3,1.0,5,12
21,24,0.7,3,6
21,29,0.6,2,5
21,4,0.6,3,6
21,19,1.0,5,10
22,16,1.0,8,20
22,5,0.9,4,10
22,8,0.7,2,5
22,12,1.0,5,10
23,3,1.0,5,12
23,24,0.7,3,6
23,29,0.6,2,5
23,4,0.6,3,6
23,19,1.0,5,10
24,3,1.0,5,12
24,24,0.7,3,6
24,29,0.6,2,5
24,4,0.6,3,6
24,19,1.0,5,10
25,23,1.0,1,10
25,17,0.9,3,8
25,24,0.7,3,6
25,25,0.5,2,5
25,19,1.0,5,10
25,4,0.5,2,4
26,3,1.0,5,12
26,24,0.7,3,6
26,29,0.6,2,5
26,4,0.6,3,6
26,19,1.0,5,10
