variant_id,ingredient_id
1,35
1,229
1,215
1,11
2,35
2,229
2,215
2,245
2,1
3,35
3,229
3,215
3,33
3,25
4,35
4,229
4,215
4,33
5,35
5,222
5,215
5,114
5,25
6,35
6,229
6,215
6,245
6,175
7,35
7,229
7,215
7,149
8,35
8,181
8,215
8,33
8,167
9,35
9,229
9,215
9,175
9,167
9,25
9,244
10,35
10,229
10,215
10,245
10,175
11,35
11,229
11,215
11,245
11,175
11,161
11,2
12,35
12,229
12,215
12,175
12,53
12,205
13,23
13,108
13,211
13,187
13,25
13,157
14,23
14,108
14,215
14,211
14,187
14,25
15,23
15,108
15,12
15,215
15,211
15,187
16,23
16,108
16,84
16,221
16,215
17,264
17,107
17,211
17,187
18,23
18,108
18,222
18,12
18,25
18,215
19,23
19,108
19,69
19,215
19,211
19,25
20,23
20,108
20,215
20,187
20,211
20,157
21,23
21,114
21,211
21,187
21,215
21,25
22,23
22,207
22,211
22,187
22,157
22,232
23,81
23,261
23,208
23,191
24,23
24,114
24,211
24,25
24,187
25,62
25,114
25,211
25,25
25,187
26,81
26,183
26,261
26,227
27,138
27,191
27,208
27,261
28,114
28,183
28,249
28,261
28,191
29,81
29,183
29,259
29,25
29,187
30,278
30,246
31,10
31,246
32,278
32,215
32,12
32,26
33,278
33,167
33,180
34,278
34,53
34,160
35,278
35,167
35,53
35,25
36,283
36,145
36,43
36,286
36,260
37,283
37,145
37,43
37,286
37,48
37,87
38,283
38,145
38,43
38,256
39,283
39,145
39,43
39,46
40,283
40,145
40,43
40,286
40,94
41,283
41,145
41,43
41,286
41,182
42,146
42,283
42,43
42,267
43,283
43,145
43,43
43,128
44,283
44,145
44,43
44,126
45,283
45,145
45,43
45,286
45,163
46,283
46,145
46,43
46,286
46,162
47,283
47,145
47,43
47,286
47,144
47,48
48,283
48,145
48,43
48,286
48,94
48,247
49,283
49,145
49,43
49,286
49,49
49,28
50,283
50,145
50,43
50,286
51,283
51,268
51,43
52,283
52,50
52,260
53,133
53,96
53,87
53,43
54,46
54,43
54,269
55,126
55,43
55,269
56,128
56,43
56,269
57,256
57,43
58,116
58,43
59,146
59,43
60,129
60,43
61,212
61,114
61,168
61,68
61,225
62,187
62,156
