id,archetype_id,name,price_multiplier_mean,price_multiplier_stdev,pixabay_term,characteristics,weights
1,1,Margherita,0.83,0.1,pizza margherita,"{""flavor_umami"": 0.7, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.6, ""texture_crispy"": 0.7, ""physics_richness"": 0.7, ""physics_temperature"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5, ""context_portion_preference"": 0.5}","{""flavor_spiciness"": 1.5, ""physics_richness"": 1.3, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.5, ""_default"": 1.0}"
2,1,Hawajska,1.0,0.1,hawaiian pizza,"{""flavor_umami"": 0.7, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.6, ""texture_crispy"": 0.7, ""physics_richness"": 0.7, ""physics_temperature"": 0.8, ""flavor_sweetness"": 0.8, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5, ""context_portion_preference"": 0.5}","{""flavor_spiciness"": 1.5, ""physics_richness"": 1.3, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.5, ""_default"": 1.0}"
3,1,Chorizo,1.07,0.133,chorizo pizza,"{""flavor_umami"": 0.7, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.6, ""texture_crispy"": 0.7, ""physics_richness"": 0.7, ""physics_temperature"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5, ""context_portion_preference"": 0.5}","{""flavor_spiciness"": 1.5, ""physics_richness"": 1.3, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.5, ""_default"": 1.0}"
4,1,Pepperoni,1.05,0.1,pepperoni pizza,"{""flavor_umami"": 0.7, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.6, ""texture_crispy"": 0.7, ""physics_richness"": 0.7, ""physics_temperature"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5, ""context_portion_preference"": 0.5}","{""flavor_spiciness"": 1.5, ""physics_richness"": 1.3, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.5, ""_default"": 1.0}"
5,1,BBQ Chicken,1.2,0.1,pizza with chicken,"{""flavor_umami"": 0.7, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.6, ""texture_crispy"": 0.7, ""physics_richness"": 0.7, ""physics_temperature"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5, ""context_portion_preference"": 0.5}","{""flavor_spiciness"": 1.5, ""physics_richness"": 1.3, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.5, ""_default"": 1.0}"
6,1,Calzone Klasyczne,1.0,0.133,calzone pizza,"{""flavor_umami"": 0.7, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.6, ""texture_crispy"": 0.7, ""physics_richness"": 0.7, ""physics_temperature"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5, ""context_portion_preference"": 0.5}","{""flavor_spiciness"": 1.5, ""physics_richness"": 1.3, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.5, ""_default"": 1.0}"
7,1,Quattro Formaggi,1.15,0.1,four cheese pizza,"{""flavor_umami"": 0.7, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.6, ""texture_crispy"": 0.7, ""physics_richness"": 0.7, ""physics_temperature"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5, ""context_portion_preference"": 0.5}","{""flavor_spiciness"": 1.5, ""physics_richness"": 1.3, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.5, ""_default"": 1.0}"
8,1,Diavola,1.1,0.1,spicy pizza salami,"{""flavor_umami"": 0.7, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.6, ""texture_crispy"": 0.7, ""physics_richness"": 0.7, ""physics_temperature"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 1.0, ""flavor_sourness"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5, ""context_portion_preference"": 0.5}","{""flavor_spiciness"": 1.5, ""physics_richness"": 1.3, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.5, ""_default"": 1.0}"
9,1,Vegetariana,0.95,0.1,vegetarian pizza,"{""flavor_umami"": 0.7, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.6, ""texture_crispy"": 0.7, ""physics_richness"": 0.3, ""physics_temperature"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.7, ""context_price_sensitivity"": 0.5, ""context_portion_preference"": 0.5}","{""flavor_spiciness"": 1.5, ""physics_richness"": 1.3, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.5, ""_default"": 1.0}"
10,1,Prosciutto e Funghi,1.1,0.1,pizza prosciutto mushrooms,"{""flavor_umami"": 0.7, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.6, ""texture_crispy"": 0.7, ""physics_richness"": 0.7, ""physics_temperature"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5, ""context_portion_preference"": 0.5}","{""flavor_spiciness"": 1.5, ""physics_richness"": 1.3, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.5, ""_default"": 1.0}"
11,1,Capricciosa,1.15,0.1,pizza capricciosa,"{""flavor_umami"": 0.7, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.6, ""texture_crispy"": 0.7, ""physics_richness"": 0.7, ""physics_temperature"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5, ""context_portion_preference"": 0.5}","{""flavor_spiciness"": 1.5, ""physics_richness"": 1.3, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.5, ""_default"": 1.0}"
12,1,Funghi,0.9,0.1,mushroom pizza,"{""flavor_umami"": 0.7, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.6, ""texture_crispy"": 0.7, ""physics_richness"": 0.7, ""physics_temperature"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5, ""context_portion_preference"": 0.5}","{""flavor_spiciness"": 1.5, ""physics_richness"": 1.3, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.5, ""_default"": 1.0}"
13,2,Burger Klasyczny,0.83,0.1,classic burger,"{""flavor_umami"": 0.8, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.5, ""physics_richness"": 1.0, ""physics_temperature"": 0.9, ""context_portion_preference"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_crispy"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5}","{""flavor_spiciness"": 1.4, ""physics_richness"": 1.5, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.4, ""_default"": 1.0}"
14,2,Cheeseburger,0.93,0.1,cheeseburger,"{""flavor_umami"": 0.8, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.5, ""physics_richness"": 1.0, ""physics_temperature"": 0.9, ""context_portion_preference"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_crispy"": 0.5, ""texture_creamy"": 0.9, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5}","{""flavor_spiciness"": 1.4, ""physics_richness"": 1.5, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.4, ""_default"": 1.0}"
15,2,Burger z Bekonem,1.07,0.133,bacon burger,"{""flavor_umami"": 1.0, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.5, ""physics_richness"": 1.0, ""physics_temperature"": 0.9, ""context_portion_preference"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 0.5, ""flavor_sourness"": 0.5, ""texture_crispy"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5}","{""flavor_spiciness"": 1.4, ""physics_richness"": 1.5, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.4, ""_default"": 1.0}"
16,2,Burger Pikantny,1.0,0.1,spicy burger,"{""flavor_umami"": 0.8, ""flavor_saltiness"": 0.6, ""texture_chewy"": 0.5, ""physics_richness"": 1.0, ""physics_temperature"": 0.9, ""context_portion_preference"": 0.8, ""flavor_sweetness"": 0.5, ""flavor_bitterness"": 0.5, ""flavor_spiciness"": 1.0, ""flavor_sourness"": 0.5, ""texture_crispy"": 0.5, ""texture_creamy"": 0.5, ""physics_freshness"": 0.5, ""context_price_sensitivity"": 0.5}","{""flavor_spiciness"": 1.4, ""physics_richness"": 1.5, ""physics_temperature"": 0.1, ""flavor_sweetness"": 0.4, ""_default"": 1.0}"
